,TARGET,성별,차량 소유 여부,부동산 소유 여부,수입 유형,최종 학력,결혼 여부,주거 형태,휴대전화 소유 여부,이메일 소유 여부,직업,가족 구성원 수,산업군,나이,가입연수,도시구분,월간 수입
52,0,2,1,1,1,1,1,3,1,0,12,1,20,2,0,0,2
53,1,1,0,0,1,0,4,3,1,0,12,2,20,3,0,1,2
54,0,1,0,1,1,0,0,1,1,0,15,3,17,2,1,1,3
55,0,2,1,1,0,1,4,3,1,0,13,3,23,2,2,3,1
56,0,2,0,0,1,0,0,3,1,0,1,3,16,1,1,0,0
57,0,2,0,1,2,0,1,3,1,0,3,1,16,2,0,3,3
58,0,2,0,0,3,0,2,3,1,0,1,1,5,3,1,1,0
59,0,1,0,0,1,0,0,3,1,0,15,2,17,0,1,3,3
60,0,2,0,0,1,0,1,0,1,0,17,1,30,0,0,0,1
61,0,2,0,0,3,0,1,3,1,0,1,1,5,4,2,1,0
62,0,2,0,1,1,0,0,3,1,0,18,2,16,0,1,0,3
63,0,2,0,1,3,0,1,3,1,0,1,1,5,3,1,1,2
64,1,1,1,1,2,1,0,3,1,0,3,3,16,3,1,0,3
65,0,1,0,1,3,0,0,3,1,0,1,2,5,4,1,1,1
66,0,1,1,1,1,0,0,3,1,0,1,2,16,3,1,0,1
67,0,2,0,1,2,0,0,3,1,0,5,4,16,1,1,0,1
68,0,2,0,1,2,0,0,3,1,0,16,2,16,2,1,3,1
69,0,1,1,0,1,0,2,1,1,0,5,2,20,1,1,3,0
70,0,2,0,0,1,0,0,3,1,0,10,3,24,1,1,0,0
71,0,2,0,1,3,0,0,3,1,0,1,2,5,4,2,0,2
72,0,2,0,1,1,0,1,3,1,0,10,2,10,1,1,0,0
73,0,1,1,1,1,0,0,3,1,0,1,3,16,1,1,0,2
74,0,2,0,0,1,0,1,3,1,0,10,1,16,0,1,1,0
75,0,2,0,1,3,0,0,3,1,0,1,2,5,3,2,0,0
76,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,0,1
77,0,1,1,0,1,0,0,3,1,0,3,3,16,2,1,1,3
78,0,2,0,1,1,0,0,3,1,0,5,3,24,3,1,0,3
79,0,1,1,1,1,0,0,3,1,0,5,4,16,1,1,1,2
80,0,2,0,0,1,0,0,3,1,0,1,3,16,2,1,1,0
81,0,2,0,0,1,0,0,3,1,0,5,5,5,1,0,0,0
82,0,1,1,1,1,0,0,3,1,0,5,2,0,1,1,3,3
83,0,2,1,1,2,0,0,3,1,0,12,2,16,2,1,3,1
84,0,1,1,0,1,0,0,3,1,0,1,4,16,0,0,3,1
85,1,1,0,0,1,0,1,1,1,0,5,1,17,0,2,1,0
86,0,2,0,1,0,1,0,3,1,0,1,3,26,2,0,0,2
87,0,2,1,0,3,0,0,3,1,0,1,2,5,4,0,1,3
88,0,2,0,1,1,0,0,3,1,0,4,2,23,3,1,0,2
89,1,2,0,1,2,0,4,3,1,0,10,2,10,3,2,0,0
90,0,2,0,1,1,0,0,3,1,0,5,3,26,1,1,0,1
91,0,2,0,0,3,0,0,3,1,0,1,2,5,3,0,1,0
92,0,2,1,0,1,1,0,3,1,0,18,2,17,2,0,1,3
93,0,1,1,1,1,0,1,3,1,0,5,1,16,2,1,1,2
94,0,2,1,1,1,1,0,3,1,0,4,3,17,3,2,3,3
95,0,2,1,1,1,0,0,3,1,0,1,2,23,2,1,0,1
96,0,1,1,1,3,3,0,3,1,0,1,2,5,4,1,3,0
97,0,1,0,0,3,0,0,3,1,0,1,2,5,3,0,3,0
98,0,2,1,1,0,1,0,3,1,0,17,3,11,1,0,0,2
99,0,2,0,1,2,0,4,3,1,0,6,4,31,2,1,1,2
100,0,2,1,1,2,1,0,3,1,0,18,3,23,2,1,0,2
101,0,1,1,0,1,2,0,3,1,0,12,2,10,0,1,0,3
102,0,2,0,1,2,0,0,3,1,0,6,2,16,4,1,3,1
103,0,2,0,1,1,0,0,3,1,0,5,6,16,1,1,0,1
104,0,2,0,1,2,0,1,3,1,0,10,1,16,2,1,0,2
105,0,1,0,1,2,0,0,3,1,0,12,2,24,2,0,3,2
106,0,2,0,1,2,0,0,3,1,0,10,4,5,2,2,3,2
107,0,2,0,1,2,1,1,3,1,0,1,1,23,3,1,1,1
108,0,1,0,0,2,0,0,3,1,0,17,2,16,0,1,1,2
109,0,2,0,1,3,0,3,3,1,0,1,1,5,3,2,0,1
110,0,2,1,1,1,2,0,3,1,0,10,2,24,2,1,0,0
111,1,2,0,1,1,1,4,3,1,0,16,2,8,2,1,0,1
112,0,1,0,1,1,1,2,3,1,0,1,1,28,2,1,0,3
113,0,2,1,1,1,0,4,3,1,0,9,2,5,1,1,1,3
114,0,1,1,0,3,0,0,0,1,0,1,2,5,4,2,0,3
115,0,2,0,1,1,0,4,3,1,0,13,3,5,0,1,3,1
116,0,2,0,1,2,0,0,3,1,0,5,2,16,2,1,0,1
117,0,1,0,1,2,0,0,3,1,0,12,3,24,3,1,1,2
118,0,2,1,1,1,3,0,3,1,0,5,2,24,1,1,1,2
119,0,2,0,1,1,0,0,3,1,0,10,2,24,1,2,0,0
120,0,2,1,1,1,0,0,3,1,0,17,3,21,1,2,0,3
121,0,2,0,1,1,1,1,3,1,0,10,2,24,1,1,0,2
122,0,2,0,1,1,0,0,3,1,1,10,2,24,1,1,2,0
123,0,2,0,1,1,1,0,3,1,0,17,2,30,2,1,1,3
124,0,2,0,0,2,0,1,3,1,0,10,1,17,1,2,0,1
125,0,1,0,1,1,0,1,3,1,0,15,1,10,3,0,0,1
126,1,2,0,1,2,0,4,3,1,0,5,2,0,2,2,0,2
127,0,2,0,0,1,0,2,3,1,0,6,1,16,2,1,3,0
128,0,2,0,1,2,1,4,3,1,0,4,2,10,3,1,0,1
129,0,2,1,1,1,0,0,3,1,0,10,2,24,1,1,0,0
130,0,2,0,1,3,0,0,3,1,0,1,2,5,3,2,0,0
131,1,2,0,1,1,1,2,3,1,0,4,2,17,1,1,3,0
132,0,2,0,1,1,0,0,3,1,0,1,4,5,1,0,0,1
133,0,2,0,1,3,0,0,3,1,0,1,2,5,4,0,0,0
134,0,2,1,1,1,1,0,3,1,0,18,2,16,1,0,1,3
135,0,2,0,1,1,0,0,3,1,0,17,3,24,1,1,1,3
136,1,1,0,0,1,0,0,3,1,0,12,2,24,3,2,1,1
137,0,1,0,1,1,0,0,3,1,0,1,3,16,2,2,1,0
138,0,2,1,1,2,1,0,3,1,0,5,3,19,1,0,3,1
139,0,1,1,1,3,0,0,3,1,0,1,2,5,2,0,0,1
140,0,2,0,1,3,0,0,3,1,0,1,2,5,3,0,1,1
141,0,2,0,1,2,0,0,3,1,0,6,2,28,2,1,0,0
142,0,2,0,0,1,2,0,3,1,0,5,4,20,1,1,0,1
143,0,2,1,1,2,0,0,3,1,0,5,3,16,1,2,0,3
144,0,1,1,1,1,0,0,3,1,0,5,2,16,1,0,1,1
145,0,2,0,0,1,0,0,3,1,0,1,4,30,0,0,0,1
146,0,2,0,1,0,0,0,3,1,0,16,3,5,0,0,1,0
147,0,2,1,0,1,1,0,3,1,0,18,2,13,1,0,3,1
148,0,2,0,0,1,0,0,3,1,0,16,3,30,1,1,0,1
149,0,2,1,1,2,1,0,3,1,0,18,4,16,2,1,0,2
150,0,2,0,1,3,0,0,3,1,0,1,2,5,4,0,0,0
151,0,2,1,0,2,1,0,3,1,1,18,3,16,1,0,0,3
152,0,2,1,1,2,0,1,3,1,0,18,1,0,3,2,0,2
153,0,2,0,1,2,0,0,3,1,0,10,2,16,1,0,0,1
154,0,2,0,1,1,0,0,3,1,0,10,3,24,1,1,0,0
155,0,2,0,1,1,0,4,3,1,0,5,2,16,2,1,1,1
156,0,2,1,0,1,0,0,3,1,0,17,2,6,3,2,1,2
157,0,2,0,1,1,0,2,3,1,1,16,2,8,1,0,1,3
158,0,2,0,0,3,2,0,3,1,0,1,2,5,3,0,0,0
159,0,2,1,0,2,1,0,3,1,0,4,3,5,1,1,1,3
160,0,2,1,0,1,0,1,3,1,0,10,2,24,0,1,3,2
161,0,2,0,0,1,0,2,3,1,0,17,2,10,1,2,3,1
162,0,1,0,1,1,0,0,3,1,0,5,3,24,1,1,1,2
163,0,1,1,1,3,0,0,3,1,0,1,2,5,3,2,3,2
164,0,1,1,0,1,0,0,3,1,0,12,2,20,2,0,1,2
165,0,2,0,1,1,0,1,3,1,0,15,1,16,3,1,1,1
166,0,1,0,0,1,0,0,0,1,0,7,2,5,2,1,3,1
167,0,2,1,0,2,1,4,3,1,0,1,3,26,1,0,1,1
168,0,2,0,1,3,0,1,3,1,1,1,1,5,4,2,0,0
169,0,2,0,1,3,0,4,3,1,0,1,2,5,2,1,1,0
170,0,2,1,1,2,0,0,3,1,0,5,2,10,1,1,0,2
171,0,2,0,1,1,0,4,0,1,0,11,3,16,2,0,3,2
172,0,1,1,1,1,1,1,3,1,1,1,1,16,0,1,0,3
173,1,1,1,0,3,0,0,3,1,0,1,2,5,4,2,0,2
174,0,1,1,0,2,0,1,0,1,1,10,1,16,0,1,0,2
175,0,1,0,0,1,0,1,3,1,0,5,1,16,1,1,0,1
176,0,2,0,1,3,1,3,3,1,0,1,1,5,4,2,3,3
177,0,2,0,1,1,0,0,3,1,1,4,4,10,2,1,0,1
178,0,2,1,1,2,1,2,3,1,0,18,1,0,2,2,1,3
179,1,2,0,1,3,0,0,0,1,0,1,2,5,3,2,0,1
180,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,0,3
181,0,2,0,1,2,0,0,3,1,0,5,3,17,1,0,3,1
182,1,2,0,1,3,0,0,3,1,0,1,2,5,3,1,3,1
183,0,2,0,0,3,0,0,3,1,0,1,2,5,4,1,0,0
184,0,2,0,1,2,0,3,3,1,0,5,2,16,2,1,3,2
185,0,2,0,0,0,1,1,3,1,0,17,1,26,1,1,3,3
186,1,1,0,1,3,0,3,3,1,0,1,1,5,4,1,0,0
187,0,1,1,1,0,0,0,3,1,0,12,3,23,2,1,3,3
188,0,2,0,0,3,0,0,3,1,0,1,2,5,4,2,0,1
189,0,2,0,1,0,1,0,0,1,0,1,2,3,2,0,3,3
190,0,1,1,1,2,0,0,3,1,0,1,3,22,1,1,0,3
191,0,1,0,0,1,0,0,1,1,0,5,3,0,0,1,0,1
192,1,1,0,1,1,0,0,3,1,0,3,3,24,1,0,1,3
193,0,2,1,1,1,0,4,3,1,0,7,3,13,2,1,1,0
194,0,1,1,1,1,1,3,3,1,0,7,1,1,3,0,3,2
195,1,1,0,1,1,0,0,3,1,0,12,2,24,3,0,1,3
196,1,1,0,1,2,0,4,3,1,0,15,2,16,2,0,0,2
197,0,1,1,1,2,0,0,3,1,0,5,2,5,1,1,1,3
198,0,1,1,0,1,0,0,1,1,0,5,3,16,1,1,0,2
199,0,1,1,0,2,0,4,3,1,0,3,2,13,2,0,1,3
200,0,1,0,0,1,0,1,3,1,0,5,1,17,0,1,0,0
201,0,2,0,1,2,2,0,3,1,0,17,4,30,2,1,0,2
202,0,1,0,1,2,0,4,3,1,1,5,2,10,0,1,0,1
203,0,2,0,0,1,1,0,3,1,0,1,2,24,2,1,1,1
204,0,1,1,1,2,0,0,3,1,0,5,2,20,0,2,0,2
205,0,2,1,1,0,1,0,3,1,0,1,3,3,1,0,0,2
206,0,2,0,1,1,0,0,3,1,0,5,2,24,3,1,1,3
207,1,1,0,1,3,0,1,3,1,0,1,2,5,2,0,1,0
208,0,2,1,1,1,0,0,3,1,0,4,3,24,2,1,3,1
209,0,2,0,0,1,0,3,3,1,0,2,1,16,4,1,0,0
210,0,1,1,0,3,0,0,0,1,0,1,2,5,3,1,3,3
211,0,2,1,1,2,0,0,3,1,0,10,4,10,1,0,0,0
212,0,2,0,0,1,0,1,3,1,0,10,1,24,2,1,0,1
213,0,2,0,1,0,1,1,3,1,0,1,2,5,1,0,3,2
214,0,2,0,1,3,0,1,3,1,0,1,1,5,2,2,1,3
215,1,1,1,1,1,0,1,3,1,0,5,1,0,1,0,0,2
216,0,2,0,1,1,1,0,3,1,0,17,2,16,2,0,3,2
217,0,2,0,1,1,0,0,3,1,0,10,2,16,1,1,3,2
218,0,2,0,0,3,0,0,3,1,0,1,2,5,4,2,1,1
219,0,2,0,1,1,0,1,3,1,0,11,1,30,4,0,0,1
220,0,2,0,1,3,0,4,3,1,0,1,2,5,3,2,0,0
221,0,2,0,1,0,0,0,3,1,0,13,2,23,1,1,1,0
222,0,1,1,1,1,0,2,3,1,0,5,3,16,2,0,3,3
223,0,1,1,0,3,1,0,3,1,0,1,2,5,4,0,0,2
224,0,2,1,0,1,0,0,3,1,0,6,2,21,3,0,0,1
225,0,1,1,1,0,1,0,3,1,0,17,4,4,1,0,0,3
226,0,1,1,1,2,0,0,3,1,0,10,2,10,0,2,0,2
227,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,3,1
228,0,1,1,1,1,0,0,3,1,0,12,2,20,3,1,0,3
229,0,2,0,1,1,0,0,3,1,0,1,4,28,1,1,3,0
230,0,2,0,0,3,0,2,0,1,0,1,1,5,3,2,3,3
231,0,2,0,0,1,0,2,3,1,0,1,1,5,1,0,0,2
232,0,1,1,0,1,0,0,3,1,0,5,2,16,0,0,0,1
233,0,2,0,0,1,0,0,3,1,0,10,2,24,0,1,0,1
234,0,2,1,1,1,0,0,3,1,0,1,2,16,3,2,3,1
235,0,2,0,1,3,0,2,3,1,0,1,1,5,3,1,3,0
236,0,2,0,1,1,0,0,3,1,0,10,2,16,3,2,0,1
237,0,2,1,1,2,2,0,3,1,0,10,3,8,1,0,2,3
238,0,2,0,0,3,0,4,3,1,0,1,2,5,3,0,1,0
239,0,2,1,1,1,0,1,3,1,0,1,1,16,1,1,3,1
240,0,1,0,0,2,0,0,3,1,0,1,2,5,1,1,0,1
241,0,2,0,1,2,1,0,3,1,0,5,4,16,1,1,3,0
242,0,2,0,1,1,0,0,3,1,0,10,2,5,1,0,3,1
243,0,1,1,0,1,0,0,0,1,0,7,3,16,0,1,0,2
244,0,2,0,0,2,1,0,3,1,0,3,2,16,3,1,0,3
245,0,1,1,0,1,0,0,3,1,0,5,5,16,1,1,1,1
246,0,2,1,1,2,0,0,3,1,0,10,2,24,2,1,0,2
247,0,2,0,0,0,0,0,3,1,0,13,2,23,1,0,3,0
248,0,2,0,0,1,0,3,3,1,0,17,1,24,3,1,0,1
249,0,1,0,1,2,1,1,3,1,0,10,1,16,0,0,0,1
250,0,1,1,0,2,0,0,3,1,0,1,2,17,2,2,0,2
251,0,2,0,1,3,0,0,3,1,0,1,2,5,4,2,0,0
252,0,2,0,1,0,0,0,3,1,0,5,2,19,2,1,0,2
253,0,2,0,0,1,0,0,0,1,0,4,3,16,2,0,0,0
254,0,2,0,1,2,0,3,3,1,0,10,1,24,3,2,0,0
255,1,1,0,0,1,3,0,3,1,0,7,2,17,1,1,0,3
256,0,1,1,1,1,0,0,3,1,0,5,3,16,0,1,0,2
257,0,2,1,1,2,0,0,3,1,0,3,3,16,0,1,3,1
258,0,1,1,1,2,0,0,3,1,0,3,2,29,2,0,3,2
259,0,2,0,0,2,0,0,3,1,0,10,2,5,2,2,0,2
260,0,2,0,0,1,0,3,0,1,0,6,1,28,4,2,1,1
261,0,2,0,0,1,0,0,3,1,0,1,2,24,3,1,0,2
262,0,1,1,1,2,0,0,3,1,0,5,4,5,1,0,1,2
263,0,1,1,0,0,0,0,0,1,0,12,2,4,2,0,0,3
264,0,2,0,1,3,0,0,3,1,0,1,2,5,3,2,0,0
265,0,2,0,1,2,1,0,3,1,0,13,4,23,2,0,3,2
266,0,2,0,1,1,1,0,3,1,0,1,2,30,2,0,0,2
267,0,1,1,1,1,0,1,3,1,0,5,1,28,2,0,0,1
268,0,2,0,1,3,0,0,3,1,0,1,2,5,4,2,0,1
269,0,2,1,0,0,1,0,3,1,0,17,4,26,1,1,2,1
270,0,2,0,1,2,1,1,0,1,0,9,3,20,1,1,0,2
271,0,2,0,1,3,0,2,3,1,0,1,1,5,3,0,0,0
272,0,1,1,1,2,2,0,3,1,0,1,3,16,0,0,0,3
273,0,2,0,1,1,0,0,3,1,0,10,3,16,1,2,1,1
274,0,1,1,1,3,0,2,3,1,0,1,1,5,4,0,3,1
275,0,1,0,0,2,1,1,3,1,0,5,1,17,0,0,1,1
276,0,1,0,1,1,0,0,3,1,0,7,3,16,2,1,0,1
277,0,2,0,1,1,0,0,1,1,0,1,2,24,0,1,1,2
278,0,2,0,1,3,0,0,3,1,0,1,2,5,2,0,0,0
279,0,1,0,1,3,0,0,3,1,0,1,2,5,3,2,3,0
280,0,2,0,0,1,0,4,3,1,0,5,2,17,2,2,3,2
281,0,2,0,1,1,0,0,3,1,0,16,4,21,1,1,0,1
282,0,1,0,1,1,0,0,3,1,0,13,2,16,1,2,3,1
283,0,2,0,0,1,1,0,3,1,0,1,2,5,2,0,0,3
284,0,2,0,1,1,0,0,3,1,0,17,2,21,2,1,3,2
285,0,2,1,1,1,0,0,0,1,0,5,2,17,3,2,1,1
286,0,2,0,1,2,0,0,3,1,0,5,2,0,2,0,0,3
287,0,2,0,1,3,0,1,3,1,0,1,1,5,4,1,0,0
288,0,1,0,0,2,0,0,1,1,0,5,2,0,1,0,0,3
289,0,2,0,0,3,1,1,3,1,0,1,1,5,3,1,0,1
290,0,2,0,1,2,1,4,3,1,0,17,2,14,2,2,0,3
291,0,2,1,1,0,1,0,3,1,0,17,2,30,3,0,1,1
292,0,1,0,1,0,0,0,0,1,0,1,3,26,1,1,1,2
293,0,1,1,1,1,0,0,3,1,0,5,2,16,1,0,3,1
294,0,2,0,1,1,0,0,3,1,0,1,2,24,2,1,0,1
295,0,2,0,1,1,0,4,3,1,0,13,2,5,2,2,0,1
296,0,2,0,1,1,0,2,3,1,0,16,1,30,3,2,0,0
297,0,2,1,1,2,2,0,3,1,1,1,3,31,1,2,0,3
298,0,2,0,0,1,1,0,3,1,0,17,3,16,0,1,3,1
299,1,2,0,1,1,0,0,3,1,0,5,2,16,2,2,3,0
300,0,2,1,1,1,0,4,3,1,0,10,4,24,1,0,1,0
301,1,2,0,0,1,0,0,3,1,0,10,2,16,0,0,0,0
302,1,1,0,1,2,0,0,3,1,0,12,2,16,4,0,0,2
303,0,2,0,1,2,0,4,3,1,0,10,2,10,1,1,1,1
304,1,1,1,1,1,1,0,3,1,0,3,4,24,2,0,3,3
305,0,1,1,1,1,0,0,3,1,0,1,2,5,3,2,1,1
306,0,2,1,0,3,0,4,3,1,0,1,2,5,2,1,1,2
307,0,2,0,1,2,0,0,3,1,0,10,2,16,2,0,0,1
308,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,0,0
309,0,2,0,0,1,1,0,3,1,0,4,3,5,3,0,1,1
310,0,2,0,1,1,0,0,3,1,0,1,2,6,2,2,1,0
311,0,2,0,0,2,1,1,3,1,0,1,1,5,2,1,0,2
312,0,2,1,1,3,1,0,3,1,0,1,2,5,4,1,1,3
313,0,2,0,0,1,0,0,3,1,0,16,4,16,1,1,1,0
314,0,2,0,0,3,0,2,3,1,0,1,1,5,3,1,1,0
315,0,2,1,1,2,1,0,3,1,1,18,3,29,1,0,3,1
316,0,2,0,0,1,0,0,3,1,0,10,4,16,1,0,1,0
317,0,1,1,0,1,0,0,3,1,0,3,4,24,2,0,1,2
318,0,2,0,0,0,0,1,3,1,0,1,1,16,0,0,0,1
319,0,2,1,1,2,1,0,3,1,0,18,2,24,0,0,3,2
320,0,2,0,1,3,0,0,3,1,0,1,2,5,3,2,0,3
321,0,1,1,1,0,1,0,3,1,1,4,2,7,1,1,1,3
322,0,2,1,1,1,1,0,3,1,0,10,4,26,0,0,0,2
323,0,2,0,1,2,1,1,3,1,0,10,1,16,0,1,1,0
324,0,2,0,1,1,0,0,3,1,0,1,4,24,1,1,3,2
325,0,2,0,0,1,0,2,3,1,0,5,1,5,3,2,0,0
326,0,2,1,1,1,1,2,3,1,0,18,2,24,2,1,3,3
327,0,2,0,1,2,1,0,3,1,1,5,3,17,1,1,0,2
328,0,2,0,1,3,0,2,3,1,0,1,1,5,3,2,3,1
329,0,2,0,1,2,0,0,3,1,0,10,2,16,0,0,1,0
330,0,2,0,1,1,0,0,3,1,0,13,4,21,2,1,1,1
331,0,2,1,1,3,0,0,3,1,0,1,2,5,3,1,1,0
332,1,2,0,1,0,0,0,3,1,0,13,2,23,2,2,3,1
333,0,1,0,1,2,0,2,3,1,0,10,1,10,2,0,0,1
334,0,2,0,1,2,0,1,3,1,0,5,1,16,0,0,0,3
335,0,2,1,1,0,0,0,3,1,0,17,2,26,2,0,1,2
336,0,2,0,0,1,1,1,0,1,0,17,1,30,0,0,3,1
337,1,2,0,1,2,1,0,3,1,0,17,3,24,0,1,3,1
338,0,1,1,1,1,1,0,3,1,0,10,4,16,1,0,1,3
339,0,2,0,1,1,0,1,3,1,0,1,1,16,1,1,1,1
340,0,2,1,0,0,0,0,3,1,0,17,2,30,0,0,3,2
341,0,1,0,0,1,0,1,3,1,0,12,1,24,1,0,0,3
342,0,1,0,1,3,0,0,3,1,0,1,2,5,4,0,0,3
343,0,1,0,1,1,2,1,3,1,0,16,1,16,0,2,0,2
344,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,3,0
345,0,1,1,1,1,0,0,3,1,0,5,2,0,2,0,0,2
346,0,1,1,1,1,1,1,3,1,1,1,1,5,1,1,0,3
347,0,1,0,0,1,0,0,3,1,0,12,2,26,2,1,3,1
348,0,2,0,1,0,1,0,3,1,0,18,2,5,3,1,0,3
349,0,2,0,0,2,0,0,3,1,0,5,3,16,2,1,0,0
350,0,1,0,1,2,1,4,3,1,0,18,2,16,1,1,0,2
351,0,2,0,0,1,2,1,1,1,0,4,1,5,0,0,0,0
352,0,1,0,0,1,0,0,3,1,0,6,2,26,4,1,3,0
353,1,2,1,0,1,1,0,0,1,0,17,2,21,0,1,0,1
354,0,2,0,1,1,0,0,3,1,0,5,4,18,1,0,1,1
355,0,2,1,1,1,0,0,3,1,0,10,4,16,1,1,3,1
356,0,1,1,0,2,0,0,3,1,0,1,2,16,1,0,0,1
357,0,2,0,1,1,0,0,3,1,0,7,2,7,2,2,3,1
358,0,1,0,0,1,0,0,3,1,0,1,2,26,1,2,0,2
359,1,2,0,1,2,0,0,3,1,0,3,4,5,0,0,1,1
360,0,2,1,1,0,1,0,3,1,0,13,4,5,1,2,1,3
361,0,1,0,1,2,0,0,3,1,0,12,2,16,2,1,0,3
362,0,2,0,0,3,2,0,3,1,0,1,2,5,3,2,0,0
363,0,2,0,1,2,2,1,3,1,1,5,1,16,0,1,1,1
364,0,2,0,1,1,0,2,3,1,0,6,1,28,2,1,1,1
365,0,2,1,0,2,1,0,3,1,0,17,2,14,2,1,3,3
366,0,2,0,1,2,0,0,3,1,0,10,2,24,0,2,0,0
367,0,1,1,1,1,0,0,3,1,0,5,2,16,2,0,1,2
368,1,2,1,1,0,1,0,3,1,0,17,2,26,0,1,3,0
369,0,2,1,0,1,0,0,3,1,0,10,4,10,1,0,1,2
370,0,2,0,0,2,0,0,3,1,0,10,2,24,2,1,0,2
371,1,1,0,1,1,0,4,3,1,0,1,2,16,1,1,1,1
372,0,2,0,1,2,0,4,3,1,0,1,4,24,1,2,0,2
373,0,2,0,1,1,1,1,3,1,0,18,2,24,1,1,0,0
374,0,2,0,1,1,0,0,3,1,0,18,2,24,1,1,3,2
375,0,1,1,1,1,0,0,3,1,0,10,2,10,2,0,0,3
376,0,2,0,0,3,0,3,3,1,0,1,1,5,4,1,0,0
377,0,1,0,1,3,1,0,3,1,0,1,2,5,4,1,0,3
378,0,2,0,0,0,0,0,3,1,0,13,2,5,3,0,1,2
379,0,2,0,1,3,0,3,3,1,0,1,1,5,3,2,1,0
380,1,2,0,1,1,0,0,3,1,0,5,2,17,2,2,3,2
381,0,2,0,0,1,0,0,3,1,0,17,2,16,3,1,0,3
