TARGET,자녀 수,가족 구성원 수,나이,가입연수,월간 수입,성별,차량 소유 여부,부동산 소유 여부,수입 유형,최종 학력,결혼 여부,주거 형태,휴대전화 소유 여부,이메일 소유 여부,직업,산업군,도시구분
0,1,3.0,31,1.0,3982500.0,0,1,1,2,0,0,3,1,0,5,16,1
0,1,3.0,43,23.0,3009000.0,0,0,1,0,0,0,0,1,0,17,1,1
0,2,4.0,30,0.0,2655000.0,1,1,1,1,0,0,3,1,1,10,17,2
1,2,4.0,29,13.0,3982500.0,0,1,1,1,0,0,3,1,0,5,16,2
0,1,3.0,23,4.0,1770000.0,1,1,1,2,0,0,3,1,0,10,24,3
1,2,4.0,45,0.0,2655000.0,0,0,1,2,0,0,3,1,0,5,16,1
0,0,1.0,37,4.0,5310000.0,1,1,0,1,1,2,0,1,0,18,5,3
0,0,2.0,56,12.0,8850000.0,1,0,0,3,0,0,3,1,0,1,5,3
0,1,3.0,30,9.0,3540000.0,0,1,1,0,0,0,3,1,0,12,4,3
0,0,1.0,62,15.0,6195000.0,1,0,1,3,1,3,3,1,0,1,5,3
0,0,2.0,49,14.0,6991500.0,1,0,0,1,0,0,3,1,0,1,16,2
0,0,1.0,57,25.0,3097500.0,1,0,1,3,0,2,3,1,0,1,5,2
0,2,4.0,32,0.0,2478000.0,0,0,0,1,0,0,3,1,0,12,16,3
0,1,3.0,28,1.0,8850000.0,0,1,0,2,1,0,3,1,0,1,22,2
0,0,2.0,36,11.0,3097500.0,0,1,1,1,1,4,3,1,0,1,24,2
0,0,2.0,36,3.0,1062000.0,1,1,1,1,0,4,3,1,0,10,24,2
0,0,2.0,42,17.0,2655000.0,1,0,1,2,0,0,3,1,0,3,24,1
0,1,3.0,27,12.0,3097500.0,1,0,1,1,0,0,3,1,0,4,29,2
0,0,2.0,48,9.0,4690500.0,1,0,1,0,1,0,3,1,0,4,26,2
0,0,1.0,48,3.0,3097500.0,1,1,1,1,1,1,3,1,0,12,20,3
1,0,2.0,53,1.0,3540000.0,0,0,0,1,0,4,3,1,0,12,20,2
0,1,3.0,49,15.0,5310000.0,0,0,1,1,0,0,1,1,0,15,17,2
0,1,3.0,41,21.0,2655000.0,1,1,1,0,1,4,3,1,0,13,23,1
0,1,3.0,38,15.0,1770000.0,1,0,0,1,0,0,3,1,0,1,16,3
0,0,1.0,46,4.0,5752500.0,1,0,1,2,0,1,3,1,0,3,16,1
0,0,1.0,60,16.0,885000.0,1,0,0,3,0,2,3,1,0,1,5,2
0,0,2.0,27,17.0,5310000.0,0,0,0,1,0,0,3,1,0,15,17,1
0,0,1.0,24,2.0,2478000.0,1,0,0,1,0,1,0,1,0,17,30,3
0,0,1.0,67,32.0,1858500.0,1,0,0,3,0,1,3,1,0,1,5,2
0,0,2.0,26,11.0,4867500.0,1,0,1,1,0,0,3,1,0,18,16,3
0,0,1.0,58,19.0,3540000.0,1,0,1,3,0,1,3,1,0,1,5,2
1,1,3.0,53,12.0,8850000.0,0,1,1,2,1,0,3,1,0,3,16,3
0,0,2.0,64,20.0,2035500.0,0,0,1,3,0,0,3,1,0,1,5,2
0,0,2.0,52,12.0,2655000.0,0,1,1,1,0,0,3,1,0,1,16,3
0,2,4.0,40,8.0,2212500.0,1,0,1,2,0,0,3,1,0,5,16,3
0,0,2.0,48,13.0,2212500.0,1,0,1,2,0,0,3,1,0,16,16,1
0,1,2.0,37,13.0,1770000.0,0,1,0,1,0,2,1,1,0,5,20,1
0,1,3.0,34,18.0,1327500.0,1,0,0,1,0,0,3,1,0,10,24,3
0,0,2.0,64,26.0,3894000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,1,2.0,31,14.0,1327500.0,1,0,1,1,0,1,3,1,0,10,10,3
0,1,3.0,40,20.0,3982500.0,0,1,1,1,0,0,3,1,0,1,16,3
0,0,1.0,22,7.0,1504500.0,1,0,0,1,0,1,3,1,0,10,16,2
0,0,2.0,59,29.0,1327500.0,1,0,1,3,0,0,3,1,0,1,5,3
0,0,2.0,59,15.0,2655000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,1,3.0,47,11.0,5310000.0,0,1,0,1,0,0,3,1,0,3,16,2
0,1,3.0,56,19.0,4425000.0,1,0,1,1,0,0,3,1,0,5,24,3
0,2,4.0,33,11.0,3540000.0,0,1,1,1,0,0,3,1,0,5,16,2
0,1,3.0,44,13.0,1770000.0,1,0,0,1,0,0,3,1,0,1,16,2
0,3,5.0,37,4.0,1327500.0,1,0,0,1,0,0,3,1,0,5,5,3
0,0,2.0,36,16.0,5310000.0,0,1,1,1,0,0,3,1,0,5,0,1
0,0,2.0,45,7.0,2539950.0,1,1,1,2,0,0,3,1,0,12,16,1
0,2,4.0,28,2.0,2832000.0,0,1,0,1,0,0,3,1,0,1,16,1
1,0,1.0,28,28.0,1770000.0,0,0,0,1,0,1,1,1,0,5,17,2
0,1,3.0,41,3.0,3097500.0,1,0,1,0,1,0,3,1,0,1,26,3
0,0,2.0,64,3.0,4867500.0,1,1,0,3,0,0,3,1,0,1,5,2
0,0,2.0,59,15.0,3540000.0,1,0,1,1,0,0,3,1,0,4,23,3
1,0,2.0,54,37.0,1327500.0,1,0,1,2,0,4,3,1,0,10,10,3
0,1,3.0,35,18.0,2655000.0,1,0,1,1,0,0,3,1,0,5,26,3
0,0,2.0,59,3.0,1327500.0,1,0,0,3,0,0,3,1,0,1,5,2
0,0,2.0,45,3.0,7965000.0,1,1,0,1,1,0,3,1,0,18,17,2
0,0,1.0,43,14.0,3540000.0,0,1,1,1,0,1,3,1,0,5,16,2
0,1,3.0,52,27.0,6195000.0,1,1,1,1,1,0,3,1,0,4,17,1
0,0,2.0,47,10.0,2212500.0,1,1,1,1,0,0,3,1,0,1,23,3
0,0,2.0,61,15.0,1327500.0,0,1,1,3,3,0,3,1,0,1,5,1
0,0,2.0,59,1.0,1770000.0,0,0,0,3,0,0,3,1,0,1,5,1
0,1,3.0,34,1.0,3540000.0,1,1,1,0,1,0,3,1,0,17,11,3
0,2,4.0,41,20.0,3628500.0,1,0,1,2,0,4,3,1,0,6,31,2
0,1,3.0,42,8.0,3982500.0,1,1,1,2,1,0,3,1,0,18,23,3
0,0,2.0,25,16.0,4425000.0,0,1,0,1,2,0,3,1,0,12,10,3
0,0,2.0,65,14.0,2566500.0,1,0,1,2,0,0,3,1,0,6,16,1
0,4,6.0,35,9.0,2212500.0,1,0,1,1,0,0,3,1,0,5,16,3
0,0,1.0,48,6.0,3186000.0,1,0,1,2,0,1,3,1,0,10,16,3
0,0,2.0,50,3.0,3097500.0,0,0,1,2,0,0,3,1,0,12,24,1
0,2,4.0,41,22.0,3097500.0,1,0,1,2,0,0,3,1,0,10,5,1
0,0,1.0,53,14.0,2655000.0,1,0,1,2,1,1,3,1,0,1,23,2
0,0,2.0,28,6.0,3744523.5,0,0,0,2,0,0,3,1,0,17,16,2
0,0,1.0,55,26.0,2478000.0,1,0,1,3,0,3,3,1,0,1,5,3
0,0,2.0,46,15.0,1770000.0,1,1,1,1,2,0,3,1,0,10,24,3
1,0,2.0,47,15.0,2655000.0,1,0,1,1,1,4,3,1,0,16,8,3
0,0,1.0,50,15.0,4248000.0,0,0,1,1,1,2,3,1,0,1,28,3
0,0,2.0,39,15.0,4513500.0,1,1,1,1,0,4,3,1,0,9,5,2
0,0,2.0,67,29.0,4425000.0,0,1,0,3,0,0,0,1,0,1,5,3
0,1,3.0,30,13.0,2478000.0,1,0,1,1,0,4,3,1,0,13,5,1
0,0,2.0,48,9.0,2655000.0,1,0,1,2,0,0,3,1,0,5,16,3
0,1,3.0,59,7.0,3982500.0,0,0,1,2,0,0,3,1,0,12,24,2
0,0,2.0,36,20.0,3097500.0,1,1,1,1,3,0,3,1,0,5,24,2
0,0,2.0,38,22.0,1327500.0,1,0,1,1,0,0,3,1,0,10,24,3
0,1,3.0,40,24.0,4425000.0,1,1,1,1,0,0,3,1,0,17,21,3
0,1,2.0,39,17.0,3097500.0,1,0,1,1,1,1,3,1,0,10,24,3
0,0,2.0,37,15.0,1858500.0,1,0,1,1,0,0,3,1,1,10,24,0
0,0,2.0,47,8.0,4425000.0,1,0,1,1,1,0,3,1,0,17,30,2
0,0,1.0,39,21.0,2655000.0,1,0,0,2,0,1,3,1,0,10,17,3
0,0,1.0,51,0.0,2212500.0,0,0,1,1,0,1,3,1,0,15,10,3
1,0,2.0,45,29.0,3097500.0,1,0,1,2,0,4,3,1,0,5,0,3
0,0,1.0,49,19.0,1770000.0,1,0,0,1,0,2,3,1,0,6,16,1
0,0,2.0,56,6.0,2655000.0,1,0,1,2,1,4,3,1,0,4,10,3
0,0,2.0,39,13.0,1947000.0,1,1,1,1,0,0,3,1,0,10,24,3
0,0,2.0,59,22.0,1327500.0,1,0,1,3,0,0,3,1,0,1,5,3
1,1,2.0,35,7.0,1681500.0,1,0,1,1,1,2,3,1,0,4,17,1
0,2,4.0,31,2.0,2212500.0,1,0,1,1,0,0,3,1,0,1,5,3
0,0,2.0,61,4.0,1584150.0,1,0,1,3,0,0,3,1,0,1,5,3
0,0,2.0,39,2.0,6372000.0,1,1,1,1,1,0,3,1,0,18,16,2
0,1,3.0,38,17.0,4425000.0,1,0,1,1,0,0,3,1,0,17,24,2
1,0,2.0,56,24.0,2655000.0,0,0,0,1,0,0,3,1,0,12,24,2
0,1,3.0,49,29.0,1327500.0,0,0,1,1,0,0,3,1,0,1,16,2
0,1,3.0,39,2.0,2655000.0,1,1,1,2,1,0,3,1,0,5,19,1
0,0,2.0,48,2.0,2212500.0,0,1,1,3,0,0,3,1,0,1,5,3
0,0,2.0,56,5.0,2655000.0,1,0,1,3,0,0,3,1,0,1,5,2
0,0,2.0,45,19.0,1062000.0,1,0,1,2,0,0,3,1,0,6,28,3
0,2,4.0,36,6.0,2212500.0,1,0,0,1,2,0,3,1,0,5,20,3
0,1,3.0,32,29.0,6195000.0,1,1,1,2,0,0,3,1,0,5,16,3
0,0,2.0,39,0.0,2124000.0,0,1,1,1,0,0,3,1,0,5,16,2
0,2,4.0,30,1.0,2035500.0,1,0,0,1,0,0,3,1,0,1,30,3
0,1,3.0,21,4.0,885000.0,1,0,1,0,0,0,3,1,0,16,5,2
0,0,2.0,38,0.0,2655000.0,1,1,0,1,1,0,3,1,0,18,13,1
0,1,3.0,38,9.0,2566500.0,1,0,0,1,0,0,3,1,0,16,30,3
0,2,4.0,43,10.0,3540000.0,1,1,1,2,1,0,3,1,0,18,16,3
0,0,2.0,65,5.0,1194750.0,1,0,1,3,0,0,3,1,0,1,5,3
0,1,3.0,37,1.0,12390000.0,1,1,0,2,1,0,3,1,1,18,16,3
0,0,1.0,52,22.0,3540000.0,1,1,1,2,0,1,3,1,0,18,0,3
0,0,2.0,39,2.0,2655000.0,1,0,1,2,0,0,3,1,0,10,16,3
0,1,3.0,37,10.0,1770000.0,1,0,1,1,0,0,3,1,0,10,24,3
0,0,2.0,46,10.0,2655000.0,1,0,1,1,0,4,3,1,0,5,16,2
0,0,2.0,55,29.0,3097500.0,1,1,0,1,0,0,3,1,0,17,6,2
0,1,2.0,33,1.0,5310000.0,1,0,1,1,0,2,3,1,1,16,8,2
0,0,2.0,57,1.0,584100.0,1,0,0,3,2,0,3,1,0,1,5,3
0,1,3.0,36,8.0,5310000.0,1,1,0,2,1,0,3,1,0,4,5,2
0,1,2.0,25,9.0,3097500.0,1,1,0,1,0,1,3,1,0,10,24,1
0,1,2.0,38,21.0,2212500.0,1,0,0,1,0,2,3,1,0,17,10,1
0,1,3.0,36,16.0,3540000.0,0,0,1,1,0,0,3,1,0,5,24,2
0,0,2.0,58,37.0,3363000.0,0,1,1,3,0,0,3,1,0,1,5,1
0,0,2.0,49,4.0,3540000.0,0,1,0,1,0,0,3,1,0,12,20,2
0,0,1.0,57,13.0,2655000.0,1,0,1,1,0,1,3,1,0,15,16,2
0,0,2.0,45,13.0,2212500.0,0,0,0,1,0,0,0,1,0,7,5,1
0,1,3.0,39,4.0,2655000.0,1,1,0,2,1,4,3,1,0,1,26,2
0,0,1.0,63,29.0,1947000.0,1,0,1,3,0,1,3,1,1,1,5,3
0,0,2.0,50,14.0,1770000.0,1,0,1,3,0,4,3,1,0,1,5,2
0,0,2.0,37,9.0,3363000.0,1,1,1,2,0,0,3,1,0,5,10,3
0,1,3.0,41,1.0,3982500.0,1,0,1,1,0,4,0,1,0,11,16,1
0,0,1.0,25,11.0,7965000.0,0,1,1,1,1,1,3,1,1,1,16,3
1,0,2.0,67,21.0,3982500.0,0,1,0,3,0,0,3,1,0,1,5,3
0,0,1.0,29,11.0,3982500.0,0,1,0,2,0,1,0,1,1,10,16,3
0,0,1.0,38,14.0,2212500.0,0,0,0,1,0,1,3,1,0,5,16,3
0,0,1.0,63,30.0,5752500.0,1,0,1,3,1,3,3,1,0,1,5,1
0,2,4.0,41,19.0,2655000.0,1,0,1,1,0,0,3,1,1,4,10,3
0,0,1.0,41,26.0,5752500.0,1,1,1,2,1,2,3,1,0,18,0,2
1,0,2.0,56,27.0,2212500.0,1,0,1,3,0,0,0,1,0,1,5,3
0,0,2.0,58,13.0,5133000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,1,3.0,31,3.0,2212500.0,1,0,1,2,0,0,3,1,0,5,17,1
1,0,2.0,57,6.0,2655000.0,1,0,1,3,0,0,3,1,0,1,5,1
0,0,2.0,67,9.0,1947000.0,1,0,0,3,0,0,3,1,0,1,5,3
0,1,2.0,49,17.0,3982500.0,1,0,1,2,0,3,3,1,0,5,16,1
0,0,1.0,40,20.0,4425000.0,1,0,0,0,1,1,3,1,0,17,26,1
1,0,1.0,67,7.0,911550.0,0,0,1,3,0,3,3,1,0,1,5,3
0,1,3.0,44,7.0,4425000.0,0,1,1,0,0,0,3,1,0,12,23,1
0,0,2.0,66,31.0,2035500.0,1,0,0,3,0,0,3,1,0,1,5,3
0,0,2.0,46,4.0,4956000.0,1,0,1,0,1,0,0,1,0,1,3,1
0,1,3.0,39,9.0,4628550.0,0,1,1,2,0,0,3,1,0,1,22,3
0,1,3.0,27,10.0,2655000.0,0,0,0,1,0,0,1,1,0,5,0,3
1,1,3.0,36,5.0,4867500.0,0,0,1,1,0,0,3,1,0,3,24,2
0,1,3.0,43,15.0,973500.0,1,1,1,1,0,4,3,1,0,7,13,2
0,0,1.0,54,4.0,3540000.0,0,1,1,1,1,3,3,1,0,7,1,1
1,0,2.0,53,1.0,4956000.0,0,0,1,1,0,0,3,1,0,12,24,2
1,0,2.0,41,0.0,3097500.0,0,0,1,2,0,4,3,1,0,15,16,3
0,0,2.0,37,8.0,5044500.0,0,1,1,2,0,0,3,1,0,5,5,2
0,1,3.0,35,14.0,3097500.0,0,1,0,1,0,0,1,1,0,5,16,3
0,0,2.0,46,1.0,6195000.0,0,1,0,2,0,4,3,1,0,3,13,2
0,0,1.0,30,13.0,1947000.0,0,0,0,1,0,1,3,1,0,5,17,3
0,2,4.0,44,7.0,3274500.0,1,0,1,2,2,0,3,1,0,17,30,3
0,0,2.0,26,12.0,2655000.0,0,0,1,2,0,4,3,1,1,5,10,3
0,0,2.0,43,6.0,2655000.0,1,0,0,1,1,0,3,1,0,1,24,2
0,0,2.0,23,23.0,3540000.0,0,1,1,2,0,0,3,1,0,5,20,3
0,1,3.0,35,1.0,3097500.0,1,1,1,0,1,0,3,1,0,1,3,3
0,0,2.0,52,15.0,4425000.0,1,0,1,1,0,0,3,1,0,5,24,2
1,1,2.0,44,2.0,1770000.0,0,0,1,3,0,1,3,1,0,1,5,2
0,1,3.0,45,9.0,2655000.0,1,1,1,1,0,0,3,1,0,4,24,1
0,0,1.0,64,20.0,1770000.0,1,0,0,1,0,3,3,1,0,2,16,3
0,0,2.0,57,19.0,4867500.0,0,1,0,3,0,0,0,1,0,1,5,1
0,2,4.0,38,1.0,1719732.0,1,1,1,2,0,0,3,1,0,10,10,3
0,0,1.0,44,19.0,2212500.0,1,0,0,1,0,1,3,1,0,10,24,3
0,1,2.0,36,1.0,3982500.0,1,0,1,0,1,1,3,1,0,1,5,1
0,0,1.0,49,26.0,4867500.0,1,0,1,3,0,1,3,1,0,1,5,2
1,0,1.0,40,2.0,3540000.0,0,1,1,1,0,1,3,1,0,5,0,3
0,0,2.0,49,4.0,3097500.0,1,0,1,1,1,0,3,1,0,17,16,1
0,0,2.0,40,13.0,3717000.0,1,0,1,1,0,0,3,1,0,10,16,1
0,0,2.0,64,28.0,2035500.0,1,0,0,3,0,0,3,1,0,1,5,2
0,0,1.0,61,3.0,2478000.0,1,0,1,1,0,1,3,1,0,11,30,3
0,0,2.0,60,22.0,885000.0,1,0,1,3,0,4,3,1,0,1,5,3
0,0,2.0,34,15.0,1947000.0,1,0,1,0,0,0,3,1,0,13,23,2
0,2,3.0,44,5.0,5752500.0,0,1,1,1,0,2,3,1,0,5,16,1
0,0,2.0,65,2.0,3628500.0,0,1,0,3,1,0,3,1,0,1,5,3
0,0,2.0,52,0.0,2389500.0,1,1,0,1,0,0,3,1,0,6,21,3
0,2,4.0,36,5.0,7080000.0,0,1,1,0,1,0,3,1,0,17,4,3
0,0,2.0,22,21.0,3982500.0,0,1,1,2,0,0,3,1,0,10,10,3
0,0,2.0,56,18.0,2212500.0,1,0,1,3,0,0,3,1,0,1,5,1
0,0,2.0,55,18.0,4690500.0,0,1,1,1,0,0,3,1,0,12,20,3
0,2,4.0,38,13.0,1327500.0,1,0,1,1,0,0,3,1,0,1,28,1
0,0,1.0,60,29.0,5310000.0,1,0,0,3,0,2,0,1,0,1,5,1
0,0,1.0,40,2.0,3451500.0,1,0,0,1,0,2,3,1,0,1,5,3
0,0,2.0,23,0.0,2478000.0,0,1,0,1,0,0,3,1,0,5,16,3
0,0,2.0,25,11.0,2212500.0,1,0,0,1,0,0,3,1,0,10,24,3
0,0,2.0,51,23.0,2655000.0,1,1,1,1,0,0,3,1,0,1,16,1
0,0,1.0,58,13.0,1548750.0,1,0,1,3,0,2,3,1,0,1,5,1
0,0,2.0,55,27.0,2212500.0,1,0,1,1,0,0,3,1,0,10,16,3
0,1,3.0,33,5.0,6195000.0,1,1,1,2,2,0,3,1,0,10,8,0
0,0,2.0,58,1.0,1416000.0,1,0,0,3,0,4,3,1,0,1,5,2
0,0,1.0,39,14.0,2212500.0,1,1,1,1,0,1,3,1,0,1,16,1
0,0,2.0,40,14.0,2655000.0,0,0,0,2,0,0,3,1,0,1,5,3
0,2,4.0,31,11.0,1327500.0,1,0,1,2,1,0,3,1,0,5,16,1
0,0,2.0,40,1.0,2389500.0,1,0,1,1,0,0,3,1,0,10,5,1
0,1,3.0,30,6.0,3982500.0,0,1,0,1,0,0,0,1,0,7,16,3
0,0,2.0,51,8.0,7080000.0,1,0,0,2,1,0,3,1,0,3,16,3
0,3,5.0,39,10.0,2212500.0,0,1,0,1,0,0,3,1,0,5,16,2
0,0,2.0,44,9.0,3982500.0,1,1,1,2,0,0,3,1,0,10,24,3
0,0,2.0,38,3.0,885000.0,1,0,0,0,0,0,3,1,0,13,23,1
0,0,1.0,52,7.0,2168250.0,1,0,0,1,0,3,3,1,0,17,24,3
0,0,1.0,29,2.0,2655000.0,0,0,1,2,1,1,3,1,0,10,16,3
0,0,2.0,41,24.0,3982500.0,0,1,0,2,0,0,3,1,0,1,17,3
0,0,2.0,63,26.0,1681500.0,1,0,1,3,0,0,3,1,0,1,5,3
0,0,2.0,43,17.0,3982500.0,1,0,1,0,0,0,3,1,0,5,19,3
0,1,3.0,42,0.0,1327500.0,1,0,0,1,0,0,0,1,0,4,16,3
0,0,1.0,54,21.0,1327500.0,1,0,1,2,0,3,3,1,0,10,24,3
1,0,2.0,40,20.0,4425000.0,0,0,0,1,3,0,3,1,0,7,17,3
0,1,3.0,28,11.0,3097500.0,0,1,1,1,0,0,3,1,0,5,16,3
0,1,3.0,30,12.0,2212500.0,1,1,1,2,0,0,3,1,0,3,16,1
0,0,2.0,46,1.0,3982500.0,0,1,1,2,0,0,3,1,0,3,29,1
0,0,2.0,47,22.0,3097500.0,1,0,0,2,0,0,3,1,0,10,5,3
0,0,1.0,64,28.0,2920500.0,1,0,0,1,0,3,0,1,0,6,28,2
0,0,2.0,54,14.0,3540000.0,1,0,0,1,0,0,3,1,0,1,24,3
0,2,4.0,35,3.0,3982500.0,0,1,1,2,0,0,3,1,0,5,5,2
0,0,2.0,50,1.0,4867500.0,0,1,0,0,0,0,0,1,0,12,4,3
0,0,2.0,60,26.0,1593000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,2,4.0,41,1.0,3982500.0,1,0,1,2,1,0,3,1,0,13,23,1
0,0,2.0,48,1.0,3982500.0,1,0,1,1,1,0,3,1,0,1,30,3
0,0,1.0,48,5.0,2478000.0,0,1,1,1,0,1,3,1,0,5,28,3
0,0,2.0,62,33.0,2655000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,2,4.0,36,9.0,2212500.0,1,1,0,0,1,0,3,1,0,17,26,0
0,2,3.0,34,9.0,3540000.0,1,0,1,2,1,1,0,1,0,9,20,3
0,0,1.0,56,3.0,893850.0,1,0,1,3,0,2,3,1,0,1,5,3
0,1,3.0,29,1.0,4425000.0,0,1,1,2,2,0,3,1,0,1,16,3
0,1,3.0,34,25.0,2212500.0,1,0,1,1,0,0,3,1,0,10,16,2
0,0,1.0,64,3.0,2655000.0,0,1,1,3,0,2,3,1,0,1,5,1
0,0,1.0,23,0.0,2212500.0,0,0,0,2,1,1,3,1,0,5,17,2
0,1,3.0,46,20.0,2655000.0,0,0,1,1,0,0,3,1,0,7,16,3
0,0,2.0,29,15.0,3982500.0,1,0,1,1,0,0,1,1,0,1,24,2
0,0,2.0,46,1.0,1327500.0,1,0,1,3,0,0,3,1,0,1,5,3
0,0,2.0,60,37.0,1150500.0,0,0,1,3,0,0,3,1,0,1,5,1
0,0,2.0,47,31.0,3097500.0,1,0,0,1,0,4,3,1,0,5,17,1
0,2,4.0,39,10.0,2655000.0,1,0,1,1,0,0,3,1,0,16,21,3
0,0,2.0,40,23.0,2920500.0,0,0,1,1,0,0,3,1,0,13,16,1
0,0,2.0,44,2.0,7965000.0,1,0,0,1,1,0,3,1,0,1,5,3
0,0,2.0,46,18.0,3717000.0,1,0,1,1,0,0,3,1,0,17,21,1
0,0,2.0,58,22.0,2832000.0,1,1,1,1,0,0,0,1,0,5,17,2
0,0,2.0,48,4.0,5310000.0,1,0,1,2,0,0,3,1,0,5,0,3
0,0,1.0,65,12.0,1327500.0,1,0,1,3,0,1,3,1,0,1,5,3
0,0,2.0,34,4.0,4425000.0,0,0,0,2,0,0,1,1,0,5,0,3
0,0,1.0,56,10.0,2212500.0,1,0,0,3,1,1,3,1,0,1,5,3
0,0,2.0,42,25.0,4867500.0,1,0,1,2,1,4,3,1,0,17,14,3
0,0,2.0,54,3.0,2478000.0,1,1,1,0,1,0,3,1,0,17,30,2
0,1,3.0,38,20.0,3363000.0,0,0,1,0,0,0,0,1,0,1,26,2
0,0,2.0,34,3.0,2655000.0,0,1,1,1,0,0,3,1,0,5,16,1
0,0,2.0,43,6.0,2212500.0,1,0,1,1,0,0,3,1,0,1,24,3
0,0,2.0,46,21.0,2212500.0,1,0,1,1,0,4,3,1,0,13,5,3
0,0,1.0,55,28.0,1327500.0,1,0,1,1,0,2,3,1,0,16,30,3
0,1,3.0,36,29.0,4779000.0,1,1,1,2,2,0,3,1,1,1,31,3
0,1,3.0,29,12.0,2212500.0,1,0,0,1,1,0,3,1,0,17,16,1
1,0,2.0,41,24.0,1593000.0,1,0,1,1,0,0,3,1,0,5,16,1
0,2,4.0,37,0.0,1770000.0,1,1,1,1,0,4,3,1,0,10,24,2
1,0,2.0,30,4.0,1327500.0,1,0,0,1,0,0,3,1,0,10,16,3
1,0,2.0,63,1.0,3982500.0,0,0,1,2,0,0,3,1,0,12,16,3
0,0,2.0,39,17.0,2478000.0,1,0,1,2,0,4,3,1,0,10,10,2
1,2,4.0,45,2.0,4425000.0,0,1,1,1,1,0,3,1,0,3,24,1
0,0,2.0,53,25.0,2655000.0,0,1,1,1,0,0,3,1,0,1,5,2
0,0,2.0,50,19.0,3097500.0,1,1,0,3,0,4,3,1,0,1,5,2
0,0,2.0,50,4.0,2655000.0,1,0,1,2,0,0,3,1,0,10,16,3
0,0,2.0,57,16.0,1770000.0,1,0,1,3,0,0,3,1,0,1,5,3
0,1,3.0,52,1.0,2212500.0,1,0,0,1,1,0,3,1,0,4,5,2
0,0,2.0,47,29.0,1327500.0,1,0,1,1,0,0,3,1,0,1,6,2
0,0,1.0,48,19.0,3540000.0,1,0,0,2,1,1,3,1,0,1,5,3
0,0,2.0,62,13.0,10620000.0,1,1,1,3,1,0,3,1,0,1,5,2
